5886,5,1,0
6225,3,1,300
6636,5,5,5
7097,6,2,1
7450,3,1,300
7914,7,9,4
8350,4,1,301
8711,5,5,12
9163,3,1,0
9537,12,13,312
9976,6,2,306
10406,13,16,311
10861,7,4,4
11353,10,8,8
11831,9,7,9
0,0,0,0,0
0,0,4,5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,2,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,2,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9,5,5,5,0
0,0,0,0,0
0,0,0,0,0
7,5,5,5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11682,6,0,37,0
12031,5,1,0,0
12386,5,2,33,0
12799,5,7,3,0
13207,0,0,1,0
13585,5,0,0,0
13968,4,2,29,0
14351,4,0,0,0
14769,5,4,44,0
15166,7,1,38,0
15536,6,0,0,0
15932,5,5,5,0
16372,5,3,30,0
16829,2,1,35,0
17162,4,0,1,0
17581,5,5,5,0
17969,5,1,1,0
18346,6,2,47,0
18817,6,0,24,0
19268,5,3,23,0
19625,4,1,32,0
20033,3,1,23,0
20483,5,4,2,0
20825,5,2,1,0
21277,4,2,0,0
21731,5,5,63,0
22158,3,0,6,0
22505,4,2,42,0
22979,3,2,34,0
23346,3,0,0,0
